Year,Milage,Price,Link,Photo Link
2015,72000,"£5,990", https://www.autotrader.co.uk/car-details/202209089554307?model=Fiesta&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&make=Ford&advertising-location=at_cars&radius=1500&sort=relevance&include-delivery-option=on&exclude-writeoff-categories=on&year-to=2015&year-from=2015&postcode=tq122pu&page=3&percentVehiclePriceDeposit=true, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/9c5231a2da564f6abba9e7a32d2cf6b4.jpg
2015,25000,"£10,999", https://www.autotrader.co.uk/car-details/202210170807721?model=Fiesta&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&make=Ford&advertising-location=at_cars&radius=1500&sort=relevance&include-delivery-option=on&exclude-writeoff-categories=on&year-to=2015&year-from=2015&postcode=tq122pu&page=3&percentVehiclePriceDeposit=true, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/5fd8655f1b2646e099473b8eada02147.jpg
2015,17700,"£12,595", https://www.autotrader.co.uk/car-details/202208128723825?model=Fiesta&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&make=Ford&advertising-location=at_cars&radius=1500&sort=relevance&include-delivery-option=on&exclude-writeoff-categories=on&year-to=2015&year-from=2015&postcode=tq122pu&page=3&percentVehiclePriceDeposit=true, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/04778f5a2e80494b91e08d152bf14c10.jpg
2015,65300,"£6,295", https://www.autotrader.co.uk/car-details/202210070523340?model=Fiesta&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&make=Ford&advertising-location=at_cars&radius=1500&sort=relevance&include-delivery-option=on&exclude-writeoff-categories=on&year-to=2015&year-from=2015&postcode=tq122pu&page=3&journey=PROMOTED_LISTING_JOURNEY&percentVehiclePriceDeposit=true, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/896f77449fb247e8abfd048eef69e8be.jpg
2015,59998,"£10,995", https://www.autotrader.co.uk/car-details/202210311248751?model=Fiesta&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&make=Ford&advertising-location=at_cars&radius=1500&sort=relevance&include-delivery-option=on&exclude-writeoff-categories=on&year-to=2015&year-from=2015&postcode=tq122pu&page=3&journey=YOU_MAY_ALSO_LIKE_JOURNEY, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/2b023fcc553e41da83962b0eca1a3a7f.jpg
2015,47865,"£9,999", https://www.autotrader.co.uk/car-details/202210251059506?model=Fiesta&year-to=2015&make=Ford&radius=1500&sort=relevance&exclude-writeoff-categories=on&include-delivery-option=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&postcode=tq122pu&year-from=2015&page=4&journey=FEATURED_LISTING_JOURNEY&percentVehiclePriceDeposit=true, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/94b5b5612514427a88381108faf78a68.jpg
2015,74000,"£5,995", https://www.autotrader.co.uk/car-details/202208239054533?model=Fiesta&year-to=2015&make=Ford&radius=1500&sort=relevance&exclude-writeoff-categories=on&include-delivery-option=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&postcode=tq122pu&year-from=2015&page=4&percentVehiclePriceDeposit=true, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/35840dd4df8c4c57a361a09ed16c322f.jpg
2015,77981,"£5,750", https://www.autotrader.co.uk/car-details/202206287256218?model=Fiesta&year-to=2015&make=Ford&radius=1500&sort=relevance&exclude-writeoff-categories=on&include-delivery-option=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&postcode=tq122pu&year-from=2015&page=4&percentVehiclePriceDeposit=true, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/5ac66c0e2d544377a346570bb3a52db0.jpg
2015,57000,"£6,895", https://www.autotrader.co.uk/car-details/202210040400504?model=Fiesta&year-to=2015&make=Ford&radius=1500&sort=relevance&exclude-writeoff-categories=on&include-delivery-option=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&postcode=tq122pu&year-from=2015&page=4&percentVehiclePriceDeposit=true, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/8bed1d6dfdae47f69e915175e7ceaabf.jpg
2015,54784,"£9,650", https://www.autotrader.co.uk/car-details/202210070517056?model=Fiesta&year-to=2015&make=Ford&radius=1500&sort=relevance&exclude-writeoff-categories=on&include-delivery-option=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&postcode=tq122pu&year-from=2015&page=4&percentVehiclePriceDeposit=true, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/04cece69f9d7443187d6e4258a901589.jpg
2015,61300,"£6,500", https://www.autotrader.co.uk/car-details/202209290250842?model=Fiesta&year-to=2015&make=Ford&radius=1500&sort=relevance&exclude-writeoff-categories=on&include-delivery-option=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&postcode=tq122pu&year-from=2015&page=4&percentVehiclePriceDeposit=true, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/011adb941c274129baf56fb861303213.jpg
